episode_id,scene_id,cache_missing,baseline_success,candidate_success,delta_success,baseline_oracle_success,candidate_oracle_success,delta_oracle_success,baseline_spl,candidate_spl,delta_spl,baseline_ndtw,candidate_ndtw,delta_ndtw,baseline_sdtw,candidate_sdtw,delta_sdtw,baseline_distance_to_goal,candidate_distance_to_goal,delta_distance_to_goal,baseline_steps_taken,candidate_steps_taken,delta_steps_taken,baseline_path_length,candidate_path_length,delta_path_length,baseline_collisions,candidate_collisions,delta_collisions,baseline_stop_error,candidate_stop_error,delta_stop_error
23,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.936200082499479,0.936200082499479,0.0,0.936200082499479,0.936200082499479,0.0,0.996239960193634,0.996239960193634,0.0,43.0,43.0,0.0,7.911970615386963,7.911970615386963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6628916536811296,0.6628916536811296,0.0,0.0,0.0,0.0,5.448633193969727,5.448633193969727,0.0,98.0,98.0,0.0,11.786622047424316,11.786622047424316,0.0,0.0,0.0,0.0,1.0,1.0,0.0
25,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8624839848847469,0.8624839848847469,0.0,0.8624839848847469,0.8624839848847469,0.0,2.236529588699341,2.236529588699341,0.0,78.0,78.0,0.0,12.00000286102295,12.00000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9243463794574558,0.9243463794574558,0.0,0.9052005033912061,0.9052005033912061,0.0,0.9052005033912061,0.9052005033912061,0.0,0.8075020909309387,0.8075020909309387,0.0,88.0,88.0,0.0,13.750001907348633,13.750001907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9414639025845135,0.9422500107466306,0.0007861081621171051,0.901467643214585,0.8748685698781248,-0.026599073336460166,0.901467643214585,0.8748685698781248,-0.026599073336460166,1.26711905002594,1.5706382989883423,0.30351924896240234,90.0,83.0,-7.0,13.500001907348633,13.488739013671875,-0.011262893676757812,0.0,0.01818181818181818,0.01818181818181818,0.0,0.0,0.0
28,mp3d/oLBMNvg9in8/oLBMNvg9in8.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6284425595593182,0.6284425595593182,0.0,0.0,0.0,0.0,8.859955787658691,8.859955787658691,0.0,122.0,122.0,0.0,8.127616882324219,8.127616882324219,0.0,0.5151515151515151,0.5151515151515151,0.0,0.0,0.0,0.0
29,mp3d/oLBMNvg9in8/oLBMNvg9in8.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6284425595593182,0.6284425595593182,0.0,0.0,0.0,0.0,8.859955787658691,8.859955787658691,0.0,98.0,98.0,0.0,8.127616882324219,8.127616882324219,0.0,0.5151515151515151,0.5151515151515151,0.0,0.0,0.0,0.0
30,mp3d/oLBMNvg9in8/oLBMNvg9in8.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7015338754959021,0.7015338754959021,0.0,0.0,0.0,0.0,8.85738754272461,8.85738754272461,0.0,56.0,56.0,0.0,7.357223987579346,7.357223987579346,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0
31,mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5119051310048295,0.5119051310048295,0.0,0.0,0.0,0.0,4.729847431182861,4.729847431182861,0.0,155.0,155.0,0.0,17.61492919921875,17.61492919921875,0.0,0.0,0.0,0.0,1.0,1.0,0.0
32,mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.8759519184779415,0.7700181570323583,-0.1059337614455832,0.8943855208078025,0.8662686626835687,-0.028116858124233812,0.8943855208078025,0.8662686626835687,-0.028116858124233812,1.070844054222107,1.113002061843872,0.04215800762176514,53.0,64.0,11.0,7.2628092765808105,8.26197624206543,0.9991669654846191,0.0,0.0,0.0,0.0,0.0,0.0
33,mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.7700181570323583,0.7700181570323583,0.0,0.8662686626835687,0.8662686626835687,0.0,0.8662686626835687,0.8662686626835687,0.0,1.113002061843872,1.113002061843872,0.0,64.0,64.0,0.0,8.26197624206543,8.26197624206543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9814048626344758,0.9814048626344758,0.0,0.9364259799840663,0.9364259799840663,0.0,0.9364259799840663,0.9364259799840663,0.0,0.39711809158325195,0.39711809158325195,0.0,38.0,38.0,0.0,7.32413387298584,7.32413387298584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9814048626344758,0.9814048626344758,0.0,0.9364259799840663,0.9364259799840663,0.0,0.9364259799840663,0.9364259799840663,0.0,0.39711809158325195,0.39711809158325195,0.0,38.0,38.0,0.0,7.32413387298584,7.32413387298584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9814048626344758,0.9814048626344758,0.0,0.9364259799840663,0.9364259799840663,0.0,0.9364259799840663,0.9364259799840663,0.0,0.39711809158325195,0.39711809158325195,0.0,38.0,38.0,0.0,7.32413387298584,7.32413387298584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9526048890218718,0.9526048890218718,0.0,0.9526048890218718,0.9526048890218718,0.0,0.8641429543495178,0.8641429543495178,0.0,49.0,49.0,0.0,8.192215919494629,8.192215919494629,0.0,0.20588235294117646,0.20588235294117646,0.0,0.0,0.0,0.0
38,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9378619943013152,0.9378619943013152,0.0,0.9416080245640869,0.9416080245640869,0.0,0.9416080245640869,0.9416080245640869,0.0,0.4141988158226013,0.4141988158226013,0.0,55.0,55.0,0.0,9.442215919494629,9.442215919494629,0.0,0.1794871794871795,0.1794871794871795,0.0,0.0,0.0,0.0
39,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9042875055016676,0.9042875055016676,0.0,0.9042875055016676,0.9042875055016676,0.0,2.072024345397949,2.072024345397949,0.0,43.0,43.0,0.0,6.942215919494629,6.942215919494629,0.0,0.2413793103448276,0.2413793103448276,0.0,0.0,0.0,0.0
40,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9974942528414087,0.9974942528414087,0.0,0.947648230417133,0.947648230417133,0.0,0.947648230417133,0.947648230417133,0.0,0.5907740592956543,0.5907740592956543,0.0,76.0,76.0,0.0,15.000001907348633,15.000001907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6929642402464409,0.6929642402464409,0.0,0.0,0.0,0.0,7.193060398101807,7.193060398101807,0.0,98.0,98.0,0.0,16.250003814697266,16.250003814697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9974942528414087,0.9974942528414087,0.0,0.947648230417133,0.947648230417133,0.0,0.947648230417133,0.947648230417133,0.0,0.5907740592956543,0.5907740592956543,0.0,76.0,76.0,0.0,15.000001907348633,15.000001907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9541422622361029,0.9541422622361029,0.0,0.8926992129383357,0.8926992129383357,0.0,0.8926992129383357,0.8926992129383357,0.0,0.5438604950904846,0.5438604950904846,0.0,68.0,68.0,0.0,11.48206901550293,11.48206901550293,0.0,0.04081632653061224,0.04081632653061224,0.0,0.0,0.0,0.0
44,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.5702156193482021,0.0,-0.5702156193482021,0.1891285172385794,0.22236890572305942,0.03324038848448002,0.1891285172385794,0.0,-0.1891285172385794,2.946096420288086,13.274782180786133,10.328685760498047,105.0,70.0,-35.0,19.212955474853516,11.741588592529297,-7.471366882324219,0.036585365853658534,0.038461538461538464,0.0018761726078799293,0.0,0.0,0.0
45,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9541422622361029,0.9541422622361029,0.0,0.8926992129383357,0.8926992129383357,0.0,0.8926992129383357,0.8926992129383357,0.0,0.5438604950904846,0.5438604950904846,0.0,68.0,68.0,0.0,11.48206901550293,11.48206901550293,0.0,0.04081632653061224,0.04081632653061224,0.0,0.0,0.0,0.0
46,mp3d/X7HyMhZNoso/X7HyMhZNoso.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9877784799593384,1.0,0.012221520040661571,0.929021963849008,0.8879965069831174,-0.04102545686589065,0.929021963849008,0.8879965069831174,-0.04102545686589065,1.37800133228302,2.377946615219116,0.9999452829360962,65.0,61.0,-4.0,10.177139282226562,9.177140235900879,-0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0.0
47,mp3d/X7HyMhZNoso/X7HyMhZNoso.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8604195312172502,0.8604195312172502,0.0,0.8604195312172502,0.8604195312172502,0.0,2.20732045173645,2.20732045173645,0.0,61.0,61.0,0.0,9.641895294189453,9.641895294189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,mp3d/X7HyMhZNoso/X7HyMhZNoso.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8879965069831174,0.8879965069831174,0.0,0.8879965069831174,0.8879965069831174,0.0,2.377946615219116,2.377946615219116,0.0,61.0,61.0,0.0,9.177140235900879,9.177140235900879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,mp3d/QUCTc6BB5sX/QUCTc6BB5sX.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5127794461602736,0.5236505823085976,0.010871136148324023,0.0,0.0,0.0,8.483038902282715,7.52454948425293,-0.9584894180297852,132.0,120.0,-12.0,11.743799209594727,10.493799209594727,-1.25,0.58,0.7555555555555555,0.17555555555555558,0.0,0.0,0.0
50,mp3d/QUCTc6BB5sX/QUCTc6BB5sX.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10221011775426676,0.2352171553717118,0.13300703761744503,0.0,0.0,0.0,12.841303825378418,13.116637229919434,0.2753334045410156,226.0,46.0,-180.0,32.3231315612793,7.003425598144531,-25.319705963134766,0.09090909090909091,0.0,-0.09090909090909091,0.0,0.0,0.0
51,mp3d/QUCTc6BB5sX/QUCTc6BB5sX.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3265800091818757,0.5501668424999268,0.22358683331805107,0.0,0.0,0.0,13.988570213317871,7.515966415405273,-6.472603797912598,135.0,87.0,-48.0,14.56328010559082,7.344579696655273,-7.218700408935547,0.6721311475409836,1.21875,0.5466188524590164,0.0,0.0,0.0
